raceId,driverId,milliseconds,time,lap,year,driver
848,20,102359,1:42.359,36,2011,Sebastian Vettel
848,20,102916,1:42.916,37,2011,Sebastian Vettel
848,20,102273,1:42.273,38,2011,Sebastian Vettel
848,20,101926,1:41.926,39,2011,Sebastian Vettel
848,20,102651,1:42.651,40,2011,Sebastian Vettel
848,20,102287,1:42.287,41,2011,Sebastian Vettel
848,20,102172,1:42.172,42,2011,Sebastian Vettel
848,20,102382,1:42.382,43,2011,Sebastian Vettel
848,20,102237,1:42.237,44,2011,Sebastian Vettel
848,20,103221,1:43.221,45,2011,Sebastian Vettel
848,20,102376,1:42.376,46,2011,Sebastian Vettel
848,20,111208,1:51.208,47,2011,Sebastian Vettel
848,20,114443,1:54.443,48,2011,Sebastian Vettel
848,20,102202,1:42.202,49,2011,Sebastian Vettel
848,20,102503,1:42.503,50,2011,Sebastian Vettel
848,20,102244,1:42.244,51,2011,Sebastian Vettel
848,20,101952,1:41.952,52,2011,Sebastian Vettel
848,20,101852,1:41.852,53,2011,Sebastian Vettel
848,20,102998,1:42.998,54,2011,Sebastian Vettel
848,20,103110,1:43.110,55,2011,Sebastian Vettel
848,20,102659,1:42.659,56,2011,Sebastian Vettel
848,20,106179,1:46.179,57,2011,Sebastian Vettel
849,4,118128,1:58.128,1,2011,Fernando Alonso
849,4,112701,1:52.701,2,2011,Fernando Alonso
849,4,112088,1:52.088,3,2011,Fernando Alonso
