raceId,year,country,circuitId,grandprix,circuit,lat,lng,milliseconds,datetime,date,url,temp,clouds,wind_speed,wind_deg,weather_before,weather_main,weather_desc,precipitation,weather_during,Scheduled Laps,Laps
981,2017,Italy,14,Italian Grand Prix,Autodromo Nazionale di Monza,45.6156,9.28111,4532312,2017-09-03 12:00:00,2017-09-03,http://en.wikipedia.org/wiki/2017_Italian_Grand_Prix,22.51,0.0,1.03,0.0,Clear,Clear,clear sky,,Clouds,53,53
982,2017,Singapore,15,Singapore Grand Prix,Marina Bay Street Circuit,1.2914,103.864,7403544,2017-09-17 12:00:00,2017-09-17,http://en.wikipedia.org/wiki/2017_Singapore_Grand_Prix,27.93,40.0,4.12,170.0,Rain,Thunderstorm,thunderstorm with rain,1.26,Rain,61,58
983,2017,Malaysia,2,Malaysian Grand Prix,Sepang International Circuit,2.76083,101.738,5401290,2017-10-01 07:00:00,2017-10-01,http://en.wikipedia.org/wiki/2017_Malaysian_Grand_Prix,30.62,75.0,3.1,320.0,Rain,Clouds,broken clouds,,Clouds,56,56
984,2017,Japan,22,Japanese Grand Prix,Suzuka Circuit,34.8431,136.541,5251194,2017-10-08 05:00:00,2017-10-08,http://en.wikipedia.org/wiki/2017_Japanese_Grand_Prix,25.92,43.0,1.5,160.0,Clouds,Clouds,scattered clouds,,Clear,53,53
985,2017,USA,69,United States Grand Prix,Circuit of the Americas,30.1328,-97.6411,5630991,2017-10-22 19:00:00,2017-10-22,http://en.wikipedia.org/wiki/2017_United_States_Grand_Prix,23.48,20.0,5.7,360.0,Clear,Clouds,few clouds,,Clouds,56,56
986,2017,Mexico,32,Mexican Grand Prix,Autódromo Hermanos Rodríguez,19.4042,-99.0907,5786552,2017-10-29 19:00:00,2017-10-29,http://en.wikipedia.org/wiki/2017_Mexican_Grand_Prix,20.93,75.0,2.1,30.0,Haze,Clouds,broken clouds,,Clouds,71,71
987,2017,Brazil,18,Brazilian Grand Prix,Autódromo José Carlos Pace,-23.7036,-46.6997,5486262,2017-11-12 16:00:00,2017-11-12,http://en.wikipedia.org/wiki/2017_Brazilian_Grand_Prix,27.02,0.0,2.6,280.0,Clear,Clear,clear sky,,Clear,71,71
988,2017,United Arab Emirates,24,Abu Dhabi Grand Prix,Yas Marina Circuit,24.4672,54.6031,5654062,2017-11-26 13:00:00,2017-11-26,http://en.wikipedia.org/wiki/2017_Abu_Dhabi_Grand_Prix,25.14,40.0,5.7,330.0,Clouds,Clouds,scattered clouds,,Clouds,55,55
989,2018,Australia,1,Australian Grand Prix,Albert Park Grand Prix Circuit,-37.8497,144.968,5373283,2018-03-25 05:10:00,2018-03-25,http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix,24.89,75.0,10.29,340.0,Clouds,Clouds,broken clouds,,Clouds,58,58
990,2018,Bahrain,3,Bahrain Grand Prix,Bahrain International Circuit,26.0325,50.5106,5521940,2018-04-08 15:10:00,2018-04-08,http://en.wikipedia.org/wiki/2018_Bahrain_Grand_Prix,24.17,18.0,5.99,44.0,Clouds,Clouds,few clouds,,Clear,57,57
